media,week,gdelt_tone
abc,2020-09-21/2020-09-27,-3.437949249526641
abc,2020-09-28/2020-10-04,-2.98370204132899
abc,2020-10-05/2020-10-11,-3.172011453657703
abc,2020-10-12/2020-10-18,-3.1171385177096367
abc,2020-10-19/2020-10-25,-3.0194441948597213
abc,2020-10-26/2020-11-01,-3.251802237004642
abc,2020-11-02/2020-11-08,-2.432216707211635
abc,2020-11-09/2020-11-15,-2.689153859109175
abc,2020-11-16/2020-11-22,-2.9797772775747835
abc,2020-11-23/2020-11-29,-2.6862959459376854
abc,2020-11-30/2020-12-06,-2.619921107883822
abc,2020-12-07/2020-12-13,-2.4289356229771726
abc,2020-12-14/2020-12-20,-2.5547898891005056
abc,2020-12-21/2020-12-27,-3.0986091762847487
abc,2020-12-28/2021-01-03,-2.7321740691356085
abc,2021-01-04/2021-01-10,-3.406443120124203
abc,2021-01-11/2021-01-17,-2.921648100504005
abc,2021-01-18/2021-01-24,-2.8792922431698704
abc,2021-01-25/2021-01-31,-3.0692069169326373
abc,2021-02-01/2021-02-07,-2.804202313488506
abc,2021-02-08/2021-02-14,-3.2022438411143423
abc,2021-02-15/2021-02-21,-2.554567155202931
abc,2021-02-22/2021-02-28,-2.9891280211175264
abc,2021-03-01/2021-03-07,-3.045546641721579
abc,2021-03-08/2021-03-14,-2.624094353191328
abc,2021-03-15/2021-03-21,-3.5686681950287586
abc,2021-03-22/2021-03-28,-3.4530165358689553
abc,2021-03-29/2021-04-04,-3.0473154017060984
abc,2021-04-05/2021-04-11,-2.8910840780312013
abc,2021-04-12/2021-04-18,-3.230455451490335
abc,2021-04-19/2021-04-25,-3.264093493915219
abc,2021-04-26/2021-05-02,-2.706591910628023
abc,2021-05-03/2021-05-09,-2.7887336965830434
abc,2021-05-10/2021-05-16,-3.2601826977860004
abc,2021-05-17/2021-05-23,-3.021111189119553
abc,2021-05-24/2021-05-30,-2.9635185544191995
abc,2021-05-31/2021-06-06,-3.155923681861005
abc,2021-06-07/2021-06-13,-3.043023418069023
abc,2021-06-14/2021-06-20,-2.661989495909864
abc,2021-06-21/2021-06-27,-3.054571521715119
abc,2021-06-28/2021-07-04,-3.277794405455056
abc,2021-07-05/2021-07-11,-3.0546383460747304
abc,2021-07-12/2021-07-18,-3.3460650091112396
abc,2021-07-19/2021-07-25,-3.2863641713311704
abc,2021-07-26/2021-08-01,-3.02155181904773
abc,2021-08-02/2021-08-08,-2.877353587415212
abc,2021-08-09/2021-08-15,-3.2843365555219823
abc,2021-08-16/2021-08-22,-3.4421426770414065
abc,2021-08-23/2021-08-29,-3.053019399674208
abc,2021-08-30/2021-09-05,-3.699720446232729
abc,2021-09-06/2021-09-12,-2.9592303727175064
abc,2021-09-13/2021-09-19,-3.0822157585516425
abc,2021-09-20/2021-09-26,-3.196418593486599
abc,2021-09-27/2021-10-03,-3.402041045635694
abc,2021-10-04/2021-10-10,-3.27250997345616
abc,2021-10-11/2021-10-17,-3.4877694705673385
abc,2021-10-18/2021-10-24,-2.587075159263358
abc,2021-10-25/2021-10-31,-2.7109905458431323
abc,2021-11-01/2021-11-07,-3.0638576240085125
abc,2021-11-08/2021-11-14,-2.4543772009359843
abc,2021-11-15/2021-11-21,-2.995239337184639
abc,2021-11-22/2021-11-28,-3.5594012982656853
abc,2021-11-29/2021-12-05,-3.9538949648250568
abc,2021-12-06/2021-12-12,-2.862865880603433
abc,2021-12-13/2021-12-19,-3.1058613791300047
abc,2021-12-20/2021-12-26,-2.863380803095189
abc,2021-12-27/2022-01-02,-3.4415693643802387
abc,2022-01-03/2022-01-09,-3.410207501913715
abc,2022-01-10/2022-01-16,-2.966953182298109
abc,2022-01-17/2022-01-23,-3.7535275070009475
abc,2022-01-24/2022-01-30,-3.158424619864196
abc,2022-01-31/2022-02-06,-3.1240178492353023
abc,2022-02-07/2022-02-13,-3.0182707259494443
abc,2022-02-14/2022-02-20,-3.4116290619223535
abc,2022-02-21/2022-02-27,-3.5657386379483667
abc,2022-02-28/2022-03-06,-3.2475235742920594
abc,2022-03-07/2022-03-13,-3.7089018245439394
abc,2022-03-14/2022-03-20,-3.3906223418233354
abc,2022-03-21/2022-03-27,-2.9659475640354844
abc,2022-03-28/2022-04-03,-2.7094899009514206
abc,2022-04-04/2022-04-10,-3.7528468634170014
abc,2022-04-11/2022-04-17,-3.4329464455411105
abc,2022-04-18/2022-04-24,-3.3505283057393145
abc,2022-04-25/2022-05-01,-3.4051769783435577
abc,2022-05-02/2022-05-08,-3.066188611545494
abc,2022-05-09/2022-05-15,-3.3378291690929203
abc,2022-05-16/2022-05-22,-3.6842269173383264
abc,2022-05-23/2022-05-29,-3.4113652804465144
abc,2022-05-30/2022-06-05,-3.2119533428032074
abc,2022-06-06/2022-06-12,-3.2749646993751735
abc,2022-06-13/2022-06-19,-3.286585366881403
abc,2022-06-20/2022-06-26,-3.322421593291076
abc,2022-06-27/2022-07-03,-3.043670393661746
abc,2022-07-04/2022-07-10,-3.9599655302464045
abc,2022-07-11/2022-07-17,-3.4014467385672833
abc,2022-07-18/2022-07-24,-2.9925908229181086
abc,2022-07-25/2022-07-31,-3.1808668620319343
abc,2022-08-01/2022-08-07,-3.3865235141952255
abc,2022-08-08/2022-08-14,-3.766373881314378
abc,2022-08-15/2022-08-21,-3.3624133382810166
abc,2022-08-22/2022-08-28,-2.8861659075281105
abc,2022-08-29/2022-09-04,-3.350397952688033
abc,2022-09-05/2022-09-11,-3.3755072915259663
abc,2022-09-12/2022-09-18,-2.897212425086412
abc,2022-09-19/2022-09-25,-3.411365401202714
abc,2022-09-26/2022-10-02,-3.8016473303588403
abc,2022-10-03/2022-10-09,-3.651023816770934
abc,2022-10-10/2022-10-16,-3.004757737319032
abc,2022-10-17/2022-10-23,-3.2630129698378787
abc,2022-10-24/2022-10-30,-3.1716041922335423
abc,2022-10-31/2022-11-06,-2.5006768792323304
abc,2022-11-07/2022-11-13,-2.964786837951522
abc,2022-11-14/2022-11-20,-3.1253468182962596
abc,2022-11-21/2022-11-27,-3.415393347422762
abc,2022-11-28/2022-12-04,-2.9769606583681414
abc,2022-12-05/2022-12-11,-3.676150710780772
abc,2022-12-12/2022-12-18,-3.3066612446474846
abc,2022-12-19/2022-12-25,-3.6723069606418344
abc,2022-12-26/2023-01-01,-3.1296612605169205
abc,2023-01-02/2023-01-08,-2.876767134740295
abc,2023-01-09/2023-01-15,-3.1801897705423894
abc,2023-01-16/2023-01-22,-3.469800139649351
abc,2023-01-23/2023-01-29,-3.3741239991853083
abc,2023-01-30/2023-02-05,-2.689789326500202
abc,2023-02-06/2023-02-12,-2.9983996141945615
abc,2023-02-13/2023-02-19,-2.572034640390289
abc,2023-02-20/2023-02-26,-2.799127039226601
abc,2023-02-27/2023-03-05,-2.9319679000700587
abc,2023-03-06/2023-03-12,-2.8008953361872395
abc,2023-03-13/2023-03-19,-2.6100375719511404
abc,2023-03-20/2023-03-26,-3.52080840918226
abc,2023-03-27/2023-04-02,-3.548986160907438
abc,2023-04-03/2023-04-09,-2.7366463329340296
abc,2023-04-10/2023-04-16,-2.699687887908581
abc,2023-04-17/2023-04-23,-3.0163428603161684
abc,2023-04-24/2023-04-30,-2.8697357406903055
abc,2023-05-01/2023-05-07,-3.0368238359836384
abc,2023-05-08/2023-05-14,-3.340584367305289
abc,2023-05-15/2023-05-21,-3.0739488622893103
abc,2023-05-22/2023-05-28,-2.760247340004398
abc,2023-05-29/2023-06-04,-3.2169578212643826
abc,2023-06-05/2023-06-11,-3.1034365119255245
abc,2023-06-12/2023-06-18,-2.857672406694744
abc,2023-06-19/2023-06-25,-2.865527437997269
abc,2023-06-26/2023-07-02,-3.081332319816884
abc,2023-07-03/2023-07-09,-3.2343933685009745
abc,2023-07-10/2023-07-16,-3.6116261502161233
abc,2023-07-17/2023-07-23,-3.2139174995619055
abc,2023-07-24/2023-07-30,-3.1037742621657514
abc,2023-07-31/2023-08-06,-3.6923155585762606
abc,2023-08-07/2023-08-13,-3.7265823375278804
abc,2023-08-14/2023-08-20,-2.9817034316722726
abc,2023-08-21/2023-08-27,-2.837713978581074
abc,2023-08-28/2023-09-03,-3.0703398670315103
abc,2023-09-04/2023-09-10,-2.7256025360989002
abc,2023-09-11/2023-09-17,-3.0797012985330023
abc,2023-09-18/2023-09-24,-3.1279067306378745
abc,2023-09-25/2023-10-01,-3.566136146993915
abc,2023-10-02/2023-10-08,-3.0874799177407724
abc,2023-10-09/2023-10-15,-3.4496639554326944
abc,2023-10-16/2023-10-22,-3.2268980569102865
abc,2023-10-23/2023-10-29,-2.763658089916436
abc,2023-10-30/2023-11-05,-2.944462346535822
abc,2023-11-06/2023-11-12,-3.365649373802591
abc,2023-11-13/2023-11-19,-2.369075238418922
abc,2023-11-20/2023-11-26,-2.8065720933169054
abc,2023-11-27/2023-12-03,-2.744866321832467
abc,2023-12-04/2023-12-10,-2.7406366570674017
abc,2023-12-11/2023-12-17,-3.0537776098178053
abc,2023-12-18/2023-12-24,-2.6394325630823627
abc,2023-12-25/2023-12-31,-2.901130909933593
abc,2024-01-01/2024-01-07,-2.566656329829818
abc,2024-01-08/2024-01-14,-2.715004948232157
abc,2024-01-15/2024-01-21,-2.4800824294128962
abc,2024-01-22/2024-01-28,-3.2406313222875434
abc,2024-01-29/2024-02-04,-2.723470603147545
abc,2024-02-05/2024-02-11,-2.662391949161259
abc,2024-02-12/2024-02-18,-2.7440045227061436
abc,2024-02-19/2024-02-25,-2.7702188227400755
abc,2024-02-26/2024-03-03,-2.960116694466731
abc,2024-03-04/2024-03-10,-2.5019681527800373
abc,2024-03-11/2024-03-17,-2.7578504246324353
abc,2024-03-18/2024-03-24,-3.0150754378892395
abc,2024-03-25/2024-03-31,-2.313207203173414
abc,2024-04-01/2024-04-07,-2.981306550805644
abc,2024-04-08/2024-04-14,-3.119469210343484
abc,2024-04-15/2024-04-21,-3.432243301359723
abc,2024-04-22/2024-04-28,-3.265064597426144
abc,2024-04-29/2024-05-05,-3.003651369082447
abc,2024-05-06/2024-05-12,-2.563985216687278
