month,year,topic,topic_id,rank,count,total_articles,percentage
5,2023,obama chooses chicago / federal police probe / early casualty rising,1,1,310,1000,31.0
5,2023,turkish protesters / deaths caused raid / validates presidents term,0,2,158,1000,15.8
5,2023,britney spears injures / homeless youth / urges conjoined twins,6,3,66,1000,6.6000000000000005
5,2024,obama chooses chicago / federal police probe / early casualty rising,1,1,340,1000,34.0
5,2024,turkish protesters / deaths caused raid / validates presidents term,0,2,128,1000,12.8
5,2024,britney spears injures / homeless youth / urges conjoined twins,6,3,58,1000,5.800000000000001
6,2015,birkin sets auction / 31447785 wal / list ariana grande,1,1,141,1000,14.099999999999998
6,2015,atlanta police search / wva teen killed / 31642407 hastert enters,5,2,137,1000,13.700000000000001
6,2015,austrian newspaper / attack northeastern syrian / angola inmates waits,0,3,135,1000,13.5
6,2016,birkin sets auction / 31447785 wal / list ariana grande,1,1,147,1000,14.7
6,2016,atlanta police search / wva teen killed / 31642407 hastert enters,5,2,140,1000,14.000000000000002
6,2016,austrian newspaper / attack northeastern syrian / angola inmates waits,0,3,106,1000,10.6
6,2017,austrian newspaper / attack northeastern syrian / angola inmates waits,0,1,151,1000,15.1
6,2017,atlanta police search / wva teen killed / 31642407 hastert enters,5,2,149,1000,14.899999999999999
6,2017,birkin sets auction / 31447785 wal / list ariana grande,1,3,105,1000,10.5
6,2018,austrian newspaper / attack northeastern syrian / angola inmates waits,0,1,168,1000,16.8
6,2018,birkin sets auction / 31447785 wal / list ariana grande,1,2,134,1000,13.4
6,2018,atlanta police search / wva teen killed / 31642407 hastert enters,5,3,121,1000,12.1
6,2019,atlanta police search / wva teen killed / 31642407 hastert enters,5,1,182,1000,18.2
6,2019,austrian newspaper / attack northeastern syrian / angola inmates waits,0,2,125,1000,12.5
6,2019,birkin sets auction / 31447785 wal / list ariana grande,1,3,109,1000,10.9
6,2020,china bans / end ebola / displays set panda,2,1,158,1000,15.8
6,2020,birkin sets auction / 31447785 wal / list ariana grande,1,2,124,1000,12.4
6,2020,austrian newspaper / attack northeastern syrian / angola inmates waits,0,3,102,1000,10.2
6,2021,atlanta police search / wva teen killed / 31642407 hastert enters,5,1,127,1000,12.7
6,2021,austrian newspaper / attack northeastern syrian / angola inmates waits,0,2,123,1000,12.3
6,2021,birkin sets auction / 31447785 wal / list ariana grande,1,3,115,1000,11.5
6,2022,austrian newspaper / attack northeastern syrian / angola inmates waits,0,1,170,1000,17.0
6,2022,birkin sets auction / 31447785 wal / list ariana grande,1,2,130,1000,13.0
6,2022,atlanta police search / wva teen killed / 31642407 hastert enters,5,3,130,1000,13.0
6,2023,austrian newspaper / attack northeastern syrian / angola inmates waits,0,1,130,1000,13.0
6,2023,atlanta police search / wva teen killed / 31642407 hastert enters,5,2,122,1000,12.2
6,2023,birkin sets auction / 31447785 wal / list ariana grande,1,3,107,1000,10.7
6,2024,austrian newspaper / attack northeastern syrian / angola inmates waits,0,1,139,1000,13.900000000000002
6,2024,birkin sets auction / 31447785 wal / list ariana grande,1,2,125,1000,12.5
6,2024,atlanta police search / wva teen killed / 31642407 hastert enters,5,3,115,1000,11.5
7,2015,gun fatal san / family reflects dozens / motel 32170100,7,1,152,1000,15.2
7,2015,terror attack tunisia / president draft laws / civic groups raises,0,2,117,1000,11.700000000000001
7,2015,wildfires spreads us / missed wreckage flight / set stats,5,3,68,1000,6.800000000000001
7,2016,gun fatal san / family reflects dozens / motel 32170100,7,1,137,1000,13.700000000000001
7,2016,terror attack tunisia / president draft laws / civic groups raises,0,2,106,1000,10.6
7,2016,2016 republican presidential / gathering san diego / house things wisconsins,6,3,87,1000,8.7
7,2017,terror attack tunisia / president draft laws / civic groups raises,0,1,119,1000,11.899999999999999
7,2017,gun fatal san / family reflects dozens / motel 32170100,7,2,116,1000,11.600000000000001
7,2017,wildfires spreads us / missed wreckage flight / set stats,5,3,54,1000,5.4
7,2018,terror attack tunisia / president draft laws / civic groups raises,0,1,139,1000,13.900000000000002
7,2018,gun fatal san / family reflects dozens / motel 32170100,7,2,126,1000,12.6
7,2018,congress taylor swift / batman storylines melrose / extends south park,4,3,77,1000,7.7
7,2019,gun fatal san / family reflects dozens / motel 32170100,7,1,163,1000,16.3
7,2019,terror attack tunisia / president draft laws / civic groups raises,0,2,104,1000,10.4
7,2019,congress taylor swift / batman storylines melrose / extends south park,4,3,66,1000,6.6000000000000005
7,2020,us measles outbreak / linked rare congo / choosing patient capital,1,1,142,1000,14.2
7,2020,gun fatal san / family reflects dozens / motel 32170100,7,2,119,1000,11.899999999999999
7,2020,terror attack tunisia / president draft laws / civic groups raises,0,3,104,1000,10.4
7,2021,us measles outbreak / linked rare congo / choosing patient capital,1,1,116,1000,11.600000000000001
7,2021,gun fatal san / family reflects dozens / motel 32170100,7,2,107,1000,10.7
7,2021,terror attack tunisia / president draft laws / civic groups raises,0,3,103,1000,10.299999999999999
7,2022,gun fatal san / family reflects dozens / motel 32170100,7,1,156,1000,15.6
7,2022,terror attack tunisia / president draft laws / civic groups raises,0,2,121,1000,12.1
7,2022,wildfires spreads us / missed wreckage flight / set stats,5,3,46,1000,4.6
7,2023,gun fatal san / family reflects dozens / motel 32170100,7,1,150,1000,15.0
7,2023,terror attack tunisia / president draft laws / civic groups raises,0,2,97,1000,9.700000000000001
7,2023,wildfires spreads us / missed wreckage flight / set stats,5,3,61,1000,6.1
7,2024,2016 republican presidential / gathering san diego / house things wisconsins,6,1,139,1000,13.900000000000002
7,2024,gun fatal san / family reflects dozens / motel 32170100,7,2,96,1000,9.6
7,2024,terror attack tunisia / president draft laws / civic groups raises,0,3,91,1000,9.1
8,2015,jason industries / outreach weigh iran / answers missing,0,1,879,1000,87.9
8,2015,military parade china / stocks open higher / drops atomic,1,2,47,1000,4.7
8,2016,jason industries / outreach weigh iran / answers missing,0,1,891,1000,89.1
8,2016,military parade china / stocks open higher / drops atomic,1,2,34,1000,3.4000000000000004
8,2017,jason industries / outreach weigh iran / answers missing,0,1,871,1000,87.1
8,2017,military parade china / stocks open higher / drops atomic,1,2,49,1000,4.9
8,2018,jason industries / outreach weigh iran / answers missing,0,1,882,1000,88.2
8,2018,military parade china / stocks open higher / drops atomic,1,2,41,1000,4.1000000000000005
8,2019,jason industries / outreach weigh iran / answers missing,0,1,858,1000,85.8
8,2019,military parade china / stocks open higher / drops atomic,1,2,47,1000,4.7
8,2020,jason industries / outreach weigh iran / answers missing,0,1,890,1000,89.0
8,2020,military parade china / stocks open higher / drops atomic,1,2,44,1000,4.3999999999999995
8,2021,jason industries / outreach weigh iran / answers missing,0,1,811,1000,81.10000000000001
8,2021,military parade china / stocks open higher / drops atomic,1,2,46,1000,4.6
8,2022,jason industries / outreach weigh iran / answers missing,0,1,906,1000,90.60000000000001
8,2022,military parade china / stocks open higher / drops atomic,1,2,46,1000,4.6
8,2023,jason industries / outreach weigh iran / answers missing,0,1,897,1000,89.7
8,2023,military parade china / stocks open higher / drops atomic,1,2,38,1000,3.8
8,2024,jason industries / outreach weigh iran / answers missing,0,1,910,1000,91.0
8,2024,military parade china / stocks open higher / drops atomic,1,2,30,1000,3.0
9,2015,missouri man robs / extremists overrun / indian villages,1,1,862,1000,86.2
9,2015,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,3,1000,0.3
9,2016,missouri man robs / extremists overrun / indian villages,1,1,883,1000,88.3
9,2016,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,10,1000,1.0
9,2017,missouri man robs / extremists overrun / indian villages,1,1,881,1000,88.1
9,2017,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,1,1000,0.1
9,2018,missouri man robs / extremists overrun / indian villages,1,1,849,1000,84.89999999999999
9,2018,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,8,1000,0.8
9,2019,missouri man robs / extremists overrun / indian villages,1,1,852,1000,85.2
9,2019,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,10,1000,1.0
9,2020,missouri man robs / extremists overrun / indian villages,1,1,764,1000,76.4
9,2020,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,115,1000,11.5
9,2021,missouri man robs / extremists overrun / indian villages,1,1,800,1000,80.0
9,2021,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,71,1000,7.1
9,2022,missouri man robs / extremists overrun / indian villages,1,1,833,1000,83.3
9,2022,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,26,1000,2.6
9,2023,missouri man robs / extremists overrun / indian villages,1,1,851,1000,85.1
9,2023,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,17,1000,1.7000000000000002
9,2024,missouri man robs / extremists overrun / indian villages,1,1,884,1000,88.4
9,2024,mosquitoes zika miami / begins mass testing / illinois 33641702 us,0,2,10,1000,1.0
10,2015,suspected freeway shooter / 34176175 justices review / pledges lower warming,1,1,552,1000,55.2
10,2015,india anger nepal / iraqi pm opens / mexican soldiers tortured,2,2,175,1000,17.5
10,2015,reagan arrives japan / gasoline cars 2050 / paycheck mystery jobs,3,3,119,1000,11.899999999999999
10,2016,suspected freeway shooter / 34176175 justices review / pledges lower warming,1,1,579,1000,57.9
10,2016,india anger nepal / iraqi pm opens / mexican soldiers tortured,2,2,158,1000,15.8
10,2016,reagan arrives japan / gasoline cars 2050 / paycheck mystery jobs,3,3,96,1000,9.6
10,2017,suspected freeway shooter / 34176175 justices review / pledges lower warming,1,1,506,1000,50.6
10,2017,india anger nepal / iraqi pm opens / mexican soldiers tortured,2,2,175,1000,17.5
10,2017,reagan arrives japan / gasoline cars 2050 / paycheck mystery jobs,3,3,113,1000,11.3
10,2018,suspected freeway shooter / 34176175 justices review / pledges lower warming,1,1,450,1000,45.0
10,2018,india anger nepal / iraqi pm opens / mexican soldiers tortured,2,2,205,1000,20.5
10,2018,reagan arrives japan / gasoline cars 2050 / paycheck mystery jobs,3,3,139,1000,13.900000000000002
10,2019,suspected freeway shooter / 34176175 justices review / pledges lower warming,1,1,482,1000,48.199999999999996
10,2019,india anger nepal / iraqi pm opens / mexican soldiers tortured,2,2,163,1000,16.3
10,2019,reagan arrives japan / gasoline cars 2050 / paycheck mystery jobs,3,3,125,1000,12.5
10,2020,suspected freeway shooter / 34176175 justices review / pledges lower warming,1,1,424,1000,42.4
10,2020,india anger nepal / iraqi pm opens / mexican soldiers tortured,2,2,165,1000,16.5
10,2020,ebola outbreak / danny pintauro / fda evaluates cardiac,0,3,145,1000,14.499999999999998
10,2021,suspected freeway shooter / 34176175 justices review / pledges lower warming,1,1,425,1000,42.5
