month,year,topic,topic_id,rank,count,total_articles,percentage,source
4,2017,group atrocities iraq / airport southern yemen / framework dianne,2,1,159,1000,15.9,fox
4,2017,murder investigation oklahoma / teen passes three / nevada inmate,7,2,146,1000,14.6,fox
4,2017,avril lavigne health / drink teens study / foods avoid want,1,3,122,1000,12.2,fox
4,2018,murder investigation oklahoma / teen passes three / nevada inmate,7,1,184,1000,18.4,fox
4,2018,avril lavigne health / drink teens study / foods avoid want,1,2,132,1000,13.200000000000001,fox
4,2018,group atrocities iraq / airport southern yemen / framework dianne,2,3,108,1000,10.8,fox
4,2019,clinton running phony / reporters cited excellence / rubio adding name,4,1,124,1000,12.4,fox
4,2019,avril lavigne health / drink teens study / foods avoid want,1,2,118,1000,11.799999999999999,fox
4,2019,murder investigation oklahoma / teen passes three / nevada inmate,7,3,109,1000,10.9,fox
4,2020,ebola chicago / help asthma sufferers / leone schools reopen,0,1,542,1000,54.2,fox
4,2020,clinton running phony / reporters cited excellence / rubio adding name,4,2,114,1000,11.4,fox
4,2020,avril lavigne health / drink teens study / foods avoid want,1,3,83,1000,8.3,fox
4,2021,clinton running phony / reporters cited excellence / rubio adding name,4,1,156,1000,15.6,fox
4,2021,avril lavigne health / drink teens study / foods avoid want,1,2,125,1000,12.5,fox
4,2021,murder investigation oklahoma / teen passes three / nevada inmate,7,3,104,1000,10.4,fox
4,2022,clinton running phony / reporters cited excellence / rubio adding name,4,1,159,1000,15.9,fox
4,2022,fifa block russia / appears repositioning new / nerve attack predicts,3,2,113,1000,11.3,fox
4,2022,murder investigation oklahoma / teen passes three / nevada inmate,7,3,101,1000,10.100000000000001,fox
4,2023,murder investigation oklahoma / teen passes three / nevada inmate,7,1,139,1000,13.900000000000002,fox
4,2023,clinton running phony / reporters cited excellence / rubio adding name,4,2,123,1000,12.3,fox
4,2023,avril lavigne health / drink teens study / foods avoid want,1,3,106,1000,10.6,fox
4,2024,clinton running phony / reporters cited excellence / rubio adding name,4,1,147,1000,14.7,fox
4,2024,avril lavigne health / drink teens study / foods avoid want,1,2,105,1000,10.5,fox
4,2024,murder investigation oklahoma / teen passes three / nevada inmate,7,3,90,1000,9.0,fox
4,2025,clinton running phony / reporters cited excellence / rubio adding name,4,1,16,79,20.253164556962027,fox
4,2025,avril lavigne health / drink teens study / foods avoid want,1,2,8,79,10.126582278481013,fox
4,2025,murder investigation oklahoma / teen passes three / nevada inmate,7,3,5,79,6.329113924050633,fox
5,2015,fatal shooting police / accused giving teen / sabina kicks mexico,2,1,179,1000,17.9,fox
5,2015,linked syria qatar / detained british police / forces thousands homes,1,2,166,1000,16.6,fox
5,2015,pitfalls entrepreneur guide / jobs online / scale one person,3,3,73,1000,7.3,fox
5,2016,fatal shooting police / accused giving teen / sabina kicks mexico,2,1,185,1000,18.5,fox
5,2016,linked syria qatar / detained british police / forces thousands homes,1,2,120,1000,12.0,fox
5,2016,pitfalls entrepreneur guide / jobs online / scale one person,3,3,99,1000,9.9,fox
5,2017,fatal shooting police / accused giving teen / sabina kicks mexico,2,1,212,1000,21.2,fox
5,2017,linked syria qatar / detained british police / forces thousands homes,1,2,175,1000,17.5,fox
5,2017,hire marco rubio / flynt endorses / nsa data,5,3,86,1000,8.6,fox
5,2018,fatal shooting police / accused giving teen / sabina kicks mexico,2,1,232,1000,23.200000000000003,fox
5,2018,linked syria qatar / detained british police / forces thousands homes,1,2,156,1000,15.6,fox
5,2018,hire marco rubio / flynt endorses / nsa data,5,3,62,1000,6.2,fox
5,2019,fatal shooting police / accused giving teen / sabina kicks mexico,2,1,176,1000,17.599999999999998,fox
5,2019,hire marco rubio / flynt endorses / nsa data,5,2,153,1000,15.299999999999999,fox
5,2019,linked syria qatar / detained british police / forces thousands homes,1,3,125,1000,12.5,fox
5,2020,seen vaccine trials / antiseptics purell diagnosis / find source coli,0,1,294,1000,29.4,fox
5,2020,hire marco rubio / flynt endorses / nsa data,5,2,165,1000,16.5,fox
5,2020,nicole smiths daughter / depression relapse lin / guardians ailing bobbi,4,3,83,1000,8.3,fox
5,2021,hire marco rubio / flynt endorses / nsa data,5,1,158,1000,15.8,fox
5,2021,fatal shooting police / accused giving teen / sabina kicks mexico,2,2,155,1000,15.5,fox
5,2021,seen vaccine trials / antiseptics purell diagnosis / find source coli,0,3,100,1000,10.0,fox
5,2022,fatal shooting police / accused giving teen / sabina kicks mexico,2,1,173,1000,17.299999999999997,fox
5,2022,hire marco rubio / flynt endorses / nsa data,5,2,144,1000,14.399999999999999,fox
5,2022,nicole smiths daughter / depression relapse lin / guardians ailing bobbi,4,3,57,1000,5.7,fox
5,2023,fatal shooting police / accused giving teen / sabina kicks mexico,2,1,204,1000,20.4,fox
5,2023,hire marco rubio / flynt endorses / nsa data,5,2,136,1000,13.600000000000001,fox
5,2023,nicole smiths daughter / depression relapse lin / guardians ailing bobbi,4,3,64,1000,6.4,fox
5,2024,linked syria qatar / detained british police / forces thousands homes,1,1,160,1000,16.0,fox
5,2024,hire marco rubio / flynt endorses / nsa data,5,2,137,1000,13.700000000000001,fox
5,2024,fatal shooting police / accused giving teen / sabina kicks mexico,2,3,126,1000,12.6,fox
6,2015,friday 13th actress / 88 bangladesh / withdrawal next imf,1,1,969,1000,96.89999999999999,fox
