month,year,topic,rank,count,total_articles,percentage,source
10,2020,"TAX_ETHNICITY_ARAB,18",1,8,1000,0.8,abc
10,2020,"LEADER,21",2,7,1000,0.7000000000000001,abc
10,2020,"LEADER,9",3,7,1000,0.7000000000000001,abc
11,2020,"TAX_ETHNICITY_ARAB,18",1,10,1000,1.0,abc
11,2020,"TAX_ETHNICITY_ARAB,41",2,10,1000,1.0,abc
11,2020,"USPEC_POLITICS_GENERAL1,35",3,7,1000,0.7000000000000001,abc
12,2020,"ECON_OILPRICE,24",1,6,1000,0.6,abc
12,2020,"TAX_WORLDLANGUAGES_RUSSIA,14",2,6,1000,0.6,abc
12,2020,"LEADER,35",3,6,1000,0.6,abc
1,2021,"LEADER,35",1,11,1000,1.0999999999999999,abc
1,2021,"USPEC_POLITICS_GENERAL1,35",2,11,1000,1.0999999999999999,abc
1,2021,"TAX_FNCACT_PRESIDENT,35",3,10,1000,1.0,abc
2,2021,"USPEC_POLITICS_GENERAL1,35",1,15,1000,1.5,abc
2,2021,"LEADER,35",2,14,1000,1.4000000000000001,abc
2,2021,"TAX_FNCACT_PRESIDENT,35",3,12,1000,1.2,abc
3,2021,"LEADER,9",1,10,1000,1.0,abc
3,2021,"USPEC_POLITICS_GENERAL1,9",2,10,1000,1.0,abc
3,2021,"USPEC_POLITICS_GENERAL1,35",3,9,1000,0.8999999999999999,abc
4,2021,"LEADER,9",1,12,1000,1.2,abc
4,2021,"TAX_FNCACT_PRESIDENT,9",2,12,1000,1.2,abc
4,2021,"USPEC_POLITICS_GENERAL1,9",3,12,1000,1.2,abc
5,2021,"TAX_WORLDLANGUAGES_RUSSIA,14",1,13,1000,1.3,abc
5,2021,"LEADER,35",2,8,1000,0.8,abc
5,2021,"ECON_OILPRICE,24",3,7,1000,0.7000000000000001,abc
6,2021,"TAX_WORLDLANGUAGES_RUSSIA,14",1,14,1000,1.4000000000000001,abc
6,2021,"TAX_ETHNICITY_ARAB,18",2,10,1000,1.0,abc
6,2021,"TAX_ETHNICITY_ARAB,41",3,10,1000,1.0,abc
7,2021,"ECON_STOCKMARKET,6",1,12,1000,1.2,abc
7,2021,"TAX_WORLDLANGUAGES_RUSSIA,14",2,11,1000,1.0999999999999999,abc
7,2021,"LEADER,9",3,7,1000,0.7000000000000001,abc
8,2021,"TAX_WORLDLANGUAGES_RUSSIA,14",1,12,1000,1.2,abc
8,2021,"TAX_ETHNICITY_ARAB,18",2,7,1000,0.7000000000000001,abc
8,2021,"TAX_ETHNICITY_ARAB,41",3,7,1000,0.7000000000000001,abc
9,2021,"LEADER,35",1,11,1000,1.0999999999999999,abc
9,2021,"TAX_FNCACT_PRESIDENT,35",2,11,1000,1.0999999999999999,abc
9,2021,"USPEC_POLITICS_GENERAL1,35",3,11,1000,1.0999999999999999,abc
10,2021,"TAX_WORLDLANGUAGES_RUSSIA,14",1,8,1000,0.8,abc
10,2021,"CRISISLEX_CRISISLEXREC,177",2,6,1000,0.6,abc
10,2021,"LEADER,40",3,6,1000,0.6,abc
11,2021,"TAX_WORLDLANGUAGES_RUSSIA,14",1,14,1000,1.4000000000000001,abc
11,2021,"TAX_ETHNICITY_ARAB,18",2,6,1000,0.6,abc
11,2021,"TAX_ETHNICITY_ARAB,41",3,6,1000,0.6,abc
12,2021,"TAX_WORLDLANGUAGES_RUSSIA,14",1,10,1000,1.0,abc
12,2021,"LEADER,9",2,9,1000,0.8999999999999999,abc
12,2021,"TAX_FNCACT_PRESIDENT,9",3,9,1000,0.8999999999999999,abc
1,2022,"TAX_WORLDLANGUAGES_RUSSIA,14",1,10,1000,1.0,abc
1,2022,"TAX_ETHNICITY_ARAB,18",2,9,1000,0.8999999999999999,abc
1,2022,"TAX_ETHNICITY_ARAB,41",3,9,1000,0.8999999999999999,abc
2,2022,"TAX_ETHNICITY_ARAB,18",1,9,1000,0.8999999999999999,abc
2,2022,"TAX_ETHNICITY_ARAB,41",2,9,1000,0.8999999999999999,abc
2,2022,"USPEC_POLITICS_GENERAL1,35",3,7,1000,0.7000000000000001,abc
3,2022,"TAX_ETHNICITY_ARAB,18",1,10,1000,1.0,abc
3,2022,"TAX_ETHNICITY_ARAB,41",2,10,1000,1.0,abc
3,2022,"LEADER,35",3,8,1000,0.8,abc
4,2022,"TAX_ETHNICITY_ARAB,18",1,7,1000,0.7000000000000001,abc
4,2022,"TAX_ETHNICITY_ARAB,41",2,7,1000,0.7000000000000001,abc
4,2022,"ECON_OILPRICE,24",3,6,1000,0.6,abc
5,2022,"MANMADE_DISASTER_IMPLIED,149",1,7,1000,0.7000000000000001,abc
5,2022,"TAX_ETHNICITY_ARAB,18",2,7,1000,0.7000000000000001,abc
5,2022,"TAX_ETHNICITY_ARAB,41",3,7,1000,0.7000000000000001,abc
6,2022,"LEADER,35",1,8,1000,0.8,abc
6,2022,"USPEC_POLITICS_GENERAL1,35",2,8,1000,0.8,abc
6,2022,"TAX_FNCACT_PRESIDENT,35",3,7,1000,0.7000000000000001,abc
7,2022,"TAX_WORLDLANGUAGES_RUSSIA,14",1,7,1000,0.7000000000000001,abc
7,2022,"LEADER,9",2,6,1000,0.6,abc
7,2022,"ARMEDCONFLICT,253",3,5,1000,0.5,abc
8,2022,"TAX_ETHNICITY_ARAB,18",1,8,1000,0.8,abc
8,2022,"TAX_ETHNICITY_ARAB,41",2,8,1000,0.8,abc
8,2022,"TAX_WORLDLANGUAGES_RUSSIA,14",3,8,1000,0.8,abc
9,2022,"LEADER,9",1,10,1000,1.0,abc
9,2022,"TAX_FNCACT_PRESIDENT,9",2,10,1000,1.0,abc
9,2022,"USPEC_POLITICS_GENERAL1,9",3,10,1000,1.0,abc
10,2022,"TAX_ETHNICITY_ARAB,18",1,5,1000,0.5,abc
10,2022,"TAX_ETHNICITY_ARAB,41",2,5,1000,0.5,abc
10,2022,"LEADER,41",3,5,1000,0.5,abc
11,2022,"TAX_ETHNICITY_ARAB,18",1,10,1000,1.0,abc
11,2022,"TAX_ETHNICITY_ARAB,41",2,10,1000,1.0,abc
