source,topic,decay_rate,half_life_days,r2,n_obs,avg_tone,first_date
Fox News,"TAX_FNCACT_VICTIM,103",0.00010608468441649163,6533.904346065911,0.03295315801658705,30,,2017-02-03 18:15:00
Fox News,"TAX_FNCACT_VICTIM,43",8.760685331917425e-05,7912.020056634522,0.26475175163972786,4,,2017-03-20 00:30:00
Fox News,"TAX_FNCACT_VICTIM,44",0.0008638476480817725,802.3951701427002,0.5676754010358669,3,,2017-03-20 00:30:00
Fox News,"TAX_FNCACT_VICTIMS,1034",6.878359047526698e-05,10077.21719338256,0.01938580101290943,31,,2015-04-23 06:00:00
Fox News,"TAX_FNCACT_VICTIMS,391",0.0008990357164260851,770.9895923995061,1.0,2,,2021-09-11 11:00:00
Fox News,"TAX_FNCACT_VICTIMS,649",9.455971913862331e-05,7330.2584533251475,0.1595176664956437,6,,2016-06-08 23:00:00
Fox News,"TAX_FNCACT_VICTIMS,650",0.00015806587258162353,4385.1792245793695,0.38966480330434017,5,,2017-03-20 00:30:00
Fox News,"TAX_FNCACT_WOMAN,179",2.186022226571311e-05,31708.148807211313,0.035933642251187226,13,,2016-07-24 11:45:00
Fox News,"TAX_FNCACT_WOMAN,415",2.7755512827999336e-05,24973.315566365938,0.03066717578970246,7,,2016-09-11 04:30:00
Fox News,"TAX_FNCACT_WOMAN,69",1.4609599543121741e-05,47444.63929446183,0.023796368078195296,15,,2015-10-17 20:15:00
Fox News,"TAX_FNCACT_WOMEN,88",2.2795484365427498e-05,30407.21440476162,0.030852606064663335,10,,2015-05-07 18:15:00
Fox News,"TAX_MILITARY_TITLE_OFFICERS,1072",0.0002861433367030095,2422.377499845011,1.0,2,,2018-04-06 02:45:00
Fox News,"TAX_MILITARY_TITLE_OFFICERS,245",3.451400438067461e-05,20083.07042309059,0.04130849469855691,8,,2017-05-17 20:30:00
Fox News,"TAX_POLITICAL_PARTY_REPUBLICAN,259",6.899719329523957e-05,10046.019953216975,0.3577174808585514,8,,2016-03-28 15:30:00
Fox News,"TAX_POLITICAL_PARTY_REPUBLICAN,305",7.992621425004583e-05,8672.338444449068,0.30792295115253765,12,,2017-03-07 11:15:00
Fox News,"TAX_POLITICAL_PARTY_REPUBLICANS,954",0.00011889106098030155,5830.103414375192,0.6981235848682776,9,,2015-04-29 04:00:00
Fox News,"TAX_TERROR_GROUP_TALIBAN,216",0.04054651081081644,17.095112913514544,0.2499999999999999,3,,2021-08-25 18:00:00
Fox News,"TAX_WORLDLANGUAGES_ALABAMA,77",0.0001860710334444941,3725.175099684253,0.35565341637489,4,,2017-03-07 11:15:00
Fox News,"TAX_WORLDLANGUAGES_GERMAN,468",0.00013739922335078426,5044.767820778144,1.0,2,,2016-11-04 15:15:00
Fox News,"TAX_WORLDMAMMALS_BEAR,1037",0.00014153265901578233,4897.436290535969,0.534763730037989,3,,2018-07-03 00:45:00
Fox News,"TAX_WORLDMAMMALS_BEAR,640",0.0004223594876126713,1641.1308396973964,1.0,2,,2018-07-03 00:45:00
Fox News,"TAX_WORLDMAMMALS_BEAR,871",0.00035105204165209055,1974.4855415109291,1.0,2,,2018-07-03 00:45:00
