Country,Year,Criminal_justice,GDP_per_capita,Political_stability,Population,Refugee_population,Unemployment_rate
Armenia,2022,46.2264137268066,7018.05150434798,19.3396224975586,2780469.0,34634.0,
Austria,2010,96.6824645996094,46903.7615854343,89.0995254516602,8363404.0,42613.0,4.883
Austria,2011,96.7136154174805,51442.2762464407,91.4691925048828,8391643.0,47055.0,4.637
Austria,2012,97.6525802612305,48564.9173350875,96.2085342407227,8429991.0,51707.0,4.909
Austria,2013,97.6525802612305,50731.1272541847,96.2085342407227,8479823.0,55575.0,5.367
Austria,2014,96.6346130371094,51786.3771747905,95.2380981445312,8546356.0,60724.0,5.674
Austria,2015,96.1904754638672,44195.8175947748,90.0,8642699.0,72198.0,5.802
Austria,2016,95.7142868041992,45307.5878620429,77.1428604125977,8736668.0,93242.0,6.064
Austria,2017,97.1428604125977,47429.1584564387,85.2380981445312,8797566.0,115252.0,5.561
Austria,2018,98.5714263916016,51466.5565633634,77.3584899902344,8840521.0,128779.0,4.933
Austria,2019,98.5714263916016,50067.5857265892,77.3584899902344,8879920.0,135951.0,4.56
Austria,2020,97.1428604125977,48789.4978498872,76.8867950439453,8916864.0,141816.0,5.201
Austria,2021,97.1428604125977,53517.8904509612,79.2452850341797,8955797.0,152514.0,6.459
Austria,2022,95.7547149658203,52084.6811953372,68.3962249755859,9041851.0,258613.0,4.992
Azerbaijan,2010,21.3270149230957,5843.5337683582,36.4928894042969,9054332.0,1894.0,5.63
Azerbaijan,2011,17.8403759002686,7189.81869211976,29.8578205108643,9173082.0,1727.0,5.42
Azerbaijan,2012,21.5962448120117,7495.86527658099,23.222749710083,9295784.0,1467.0,5.19
Azerbaijan,2013,26.2910804748535,7875.34536661549,33.6492881774902,9416801.0,1377.0,4.97
Azerbaijan,2014,28.365385055542,7890.84028062087,26.1904754638672,9535079.0,1298.0,4.91
Azerbaijan,2015,28.0952377319336,5500.50364628486,21.9047622680664,9649341.0,1279.0,4.96
Azerbaijan,2016,31.9047622680664,3880.6852276838,18.0952377319336,9757812.0,1193.0,5.0
Azerbaijan,2017,30.4761905670166,4147.1981423222,19.5238094329834,9854033.0,1120.0,5.0
Azerbaijan,2018,28.5714282989502,4739.7943123408,20.7547168731689,9939771.0,1130.0,4.9
Azerbaijan,2019,28.0952377319336,4805.75371765917,22.6415100097656,10024283.0,1109.0,5.0
Azerbaijan,2020,24.2857151031494,4229.91064904503,17.4528293609619,10093121.0,1572.0,7.24
Azerbaijan,2021,29.5238094329834,5408.04535175023,18.3962268829346,10137750.0,1676.0,6.04
Azerbaijan,2022,27.3584899902344,7770.594223351,16.0377349853516,10141756.0,6414.0,5.65
Belgium,2010,90.0473937988281,44184.946353964,74.407585144043,10895586.0,17891.0,8.293
Belgium,2011,90.1408462524414,47410.5669277464,78.1990509033203,11038264.0,22396.0,7.14
Belgium,2012,90.1408462524414,44670.5606845101,76.3033142089844,11106932.0,22023.0,7.542
Belgium,2013,90.1408462524414,46757.9518559598,77.7251205444336,11159407.0,25617.0,8.425
Belgium,2014,88.9423065185547,47764.0715120833,69.523811340332,11209057.0,29170.0,8.523
Belgium,2015,88.0952377319336,41008.296719472,64.2857131958008,11274196.0,35302.0,8.482
Belgium,2016,88.5714263916016,42012.6227191016,61.4285697937012,11331422.0,42158.0,7.83
Belgium,2017,87.6190490722656,44198.4823908691,62.3809509277344,11375158.0,42158.0,7.09
Belgium,2018,87.6190490722656,47544.9811472757,59.4339637756348,11427054.0,42158.0,5.941
Belgium,2019,87.6190490722656,46641.7214017087,60.8490562438965,11488980.0,61662.0,5.364
Belgium,2020,87.6190490722656,45587.968308319,64.1509399414062,11538604.0,64973.0,5.545
Belgium,2021,87.6190490722656,51863.8311565054,67.4528274536133,11586195.0,74063.0,6.248
Belgium,2022,88.2075500488281,49942.0906424887,66.5094375610352,11685814.0,150713.0,5.57
Bosnia and Herzegovina,2010,44.0758285522461,4506.93235205533,24.6445503234863,3811088.0,7014.0,27.312
Bosnia and Herzegovina,2011,45.0704231262207,4980.90468838995,20.3791465759277,3743142.0,6932.0,27.582
Bosnia and Herzegovina,2012,49.7652587890625,4688.34582317708,28.4360198974609,3674374.0,6904.0,28.01
Bosnia and Herzegovina,2013,51.6431922912598,5025.24175294061,34.1232223510742,3617559.0,6924.0,27.49
Bosnia and Herzegovina,2014,51.9230766296387,5196.97008415107,44.761905670166,3571068.0,6883.0,27.517
Bosnia and Herzegovina,2015,45.7142868041992,4654.60862038896,31.9047622680664,3524324.0,6789.0,27.695
Bosnia and Herzegovina,2016,47.1428565979004,4917.26376596306,30.9523811340332,3480986.0,5266.0,25.408
Bosnia and Herzegovina,2017,46.6666679382324,5327.39230422044,32.3809509277344,3440027.0,5224.0,20.527
Bosnia and Herzegovina,2018,45.238094329834,6024.49314979655,31.6037731170654,3400129.0,5227.0,18.4
Bosnia and Herzegovina,2019,46.1904754638672,6094.72482322311,29.2452831268311,3360711.0,5241.0,15.692
Bosnia and Herzegovina,2020,42.3809509277344,6095.10423658487,30.6603775024414,3318407.0,5232.0,15.868
Bosnia and Herzegovina,2021,41.4285697937012,7237.27446250665,30.6603775024414,3270943.0,240.0,14.897
Bosnia and Herzegovina,2022,41.5094337463379,7587.58817346075,27.8301887512207,3233526.0,274.0,12.657
Bulgaria,2010,51.6587677001953,6863.66706774052,57.8199043273926,7395599.0,5519.0,10.279
Bulgaria,2011,51.1737098693848,7857.16706984441,55.9241714477539,7348328.0,5676.0,11.26
Bulgaria,2012,51.6431922912598,7430.7373804242,58.7677726745605,7305888.0,2273.0,12.27
Bulgaria,2013,50.7042236328125,7687.71368243317,53.0805702209473,7265115.0,4305.0,12.941
Bulgaria,2014,54.3269233703613,7912.27484371138,49.523811340332,7223938.0,11026.0,11.424
Bulgaria,2015,51.4285697937012,7078.86032298969,46.6666679382324,7177991.0,16543.0,9.143
Bulgaria,2016,49.523811340332,7570.93165511708,49.0476188659668,7127822.0,17794.0,7.575
Bulgaria,2017,50.9523811340332,8381.88134621669,59.0476188659668,7075947.0,19166.0,6.164
Bulgaria,2018,50.9523811340332,9447.65589681469,61.7924537658691,7025037.0,19906.0,5.211
Bulgaria,2019,52.3809509277344,9874.33632625168,66.0377349853516,6975761.0,20438.0,4.23
Bulgaria,2020,49.0476188659668,10148.3423954435,58.4905662536621,6934015.0,21113.0,5.125
Bulgaria,2021,52.3809509277344,12219.3418706779,58.0188674926758,6877743.0,22830.0,5.267
Bulgaria,2022,50.0,13974.4492487792,54.7169799804688,6465097.0,176297.0,4.268
Croatia,2010,56.8720397949219,13697.4521970764,66.8246459960938,4295427.0,933.0,11.62
Croatia,2011,58.2159614562988,14664.3690796915,68.2464447021484,4280622.0,818.0,13.678
Croatia,2012,59.1549301147461,13452.9759027717,65.4028472900391,4267558.0,722.0,15.935
Croatia,2013,58.2159614562988,14002.2381023542,66.3507080078125,4255689.0,679.0,17.251
Croatia,2014,63.461540222168,14035.8597369389,67.1428604125977,4238389.0,724.0,17.29
Croatia,2015,60.476188659668,12135.1036186683,64.7619018554688,4203604.0,517.0,16.175
Croatia,2016,62.3809509277344,12634.3195701712,67.6190490722656,4174349.0,300.0,13.103
Croatia,2017,61.9047622680664,13655.4798216229,70.476188659668,4124531.0,508.0,11.208
Croatia,2018,61.9047622680664,15132.9554012394,71.698112487793,4087843.0,787.0,8.432
