parsed_date,url,headline_from_url,V2Themes,V2Locations,V2Persons,V2Organizations,V2Tone,afinn_tone_score,sentiment_label,vader_sentiment_analysis,vader_tone_score
2020-07-21 00:45:00,https://www.msnbc.com:443/the-reidout/watch/biden-says-trump-surrendered-waved-the-white-flag-in-his-handling-of-the-pandemic-88026693592,biden says trump surrendered waved the white flag in his handling of the pandemic 88026693592,"LEADER,33;LEADER,88;TAX_FNCACT_PRESIDENT,33;TAX_FNCACT_PRESIDENT,88;USPEC_POLITICS_GENERAL1,33;USPEC_POLITICS_GENERAL1,88;GENERAL_HEALTH,64;HEALTH_PANDEMIC,64;WB_635_PUBLIC_HEALTH,64;WB_2165_HEALTH_EMERGENCIES,64;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,64;WB_621_HEALTH_NUTRITION_AND_POPULATION,64;WB_2167_PANDEMICS,64;UNGP_HEALTHCARE,64;TAX_FNCACT_VICE_PRESIDENT,88;",,"Joe Biden,98",,"-2.56410256410256,2.56410256410256,5.12820512820513,7.69230769230769,17.9487179487179,2.56410256410256,32",,,,
2020-07-21 01:30:00,https://www.msnbc.com/the-reidout/watch/hillary-clinton-says-trump-s-election-strategy-is-to-sow-further-distrust-in-our-election-system-88027717951,hillary clinton says trump s election strategy is to sow further distrust in our election system 88027717951,"TAX_FNCACT_SECRETARY_OF_STATE,62;CRISISLEX_C07_SAFETY,29;ELECTION,20;TAX_FNCACT_SECRETARY,53;",,"Hillary Clinton,78",,"-2.08333333333333,2.08333333333333,4.16666666666667,6.25,25,2.08333333333333,43",,,,
2020-07-21 01:30:00,https://www.msnbc.com/msnbc/watch/wallace-trump-s-potential-refusal-to-accept-election-result-would-be-democracy-destroying-88015429518,wallace trump s potential refusal to accept election result would be democracy destroying 88015429518,"LEADER,70;LEADER,134;LEADER,161;TAX_FNCACT_PRESIDENT,70;TAX_FNCACT_PRESIDENT,134;TAX_FNCACT_PRESIDENT,161;USPEC_POLITICS_GENERAL1,70;USPEC_POLITICS_GENERAL1,134;USPEC_POLITICS_GENERAL1,161;EPU_CATS_MIGRATION_FEAR_FEAR,60;TAX_FNCACT_VICE_PRESIDENT,134;TAX_FNCACT_OFFICIALS,55;",,"Donald Trump,83;Nicolle Wallace,15;Joe Biden,144",,"-10,0,10,10,16.6666666666667,0,26",,,,
2020-07-21 02:30:00,https://www.msnbc.com/the-reidout/watch/-violation-of-our-sovereignty-biden-says-russian-interference-in-us-elections-will-not-go-unnoticed-88027717730, violation of our sovereignty biden says russian interference in us elections will not go unnoticed 88027717730,"SOVEREIGNTY,192;LEADER,81;LEADER,116;TAX_FNCACT_PRESIDENT,81;TAX_FNCACT_PRESIDENT,116;USPEC_POLITICS_GENERAL1,81;USPEC_POLITICS_GENERAL1,116;ELECTION,57;TAX_ETHNICITY_RUSSIAN,10;TAX_ETHNICITY_RUSSIAN,106;TAX_WORLDLANGUAGES_RUSSIAN,10;TAX_WORLDLANGUAGES_RUSSIAN,106;TAX_FNCACT_VICE_PRESIDENT,81;",1#Russian#RS#RS##60#100#RS#10;1#Russian#RS#RS##60#100#RS#106,"Joe Biden,91",,"-6.81818181818182,0,6.81818181818182,6.81818181818182,11.3636363636364,2.27272727272727,40",,,,
2020-07-21 02:30:00,https://www.msnbc.com/the-reidout/watch/clinton-on-russian-interference-in-us-elections-what-happened-in-2016-is-sadly-underway-again-88026693721,clinton on russian interference in us elections what happened in 2016 is sadly underway again 88026693721,"TAX_FNCACT_SECRETARY_OF_STATE,116;TAX_WORLDLANGUAGES_RUSSIA,49;LEADER,12;LEADER,169;TAX_FNCACT_PRESIDENT,12;TAX_FNCACT_PRESIDENT,169;USPEC_POLITICS_GENERAL1,12;USPEC_POLITICS_GENERAL1,169;ELECTION,69;TAX_FNCACT_VICE_PRESIDENT,169;TAX_ETHNICITY_AMERICAN,262;TAX_FNCACT_SECRETARY,107;",1#Russia#RS#RS##60#100#RS#49;1#American#US#US##39.828175#-98.5795#US#262,"Hillary Clinton,132",,"-5.17241379310345,1.72413793103448,6.89655172413793,8.62068965517241,18.9655172413793,0,52",,,,
2020-07-21 03:00:00,https://www.msnbc.com:443/all-in/watch/rep-maxine-waters-on-john-lewis-legacy-we-can-t-honor-him-enough-88032325998,rep maxine waters on john lewis legacy we can t honor him enough 88032325998,"WB_137_WATER,18;DEMOCRACY,94;UNGP_POLITICAL_FREEDOMS,94;",,"John Lewis,32",,"0,0,0,0,20.5882352941176,0,29",,,,
2020-07-21 03:00:00,https://www.msnbc.com:443/all-in/watch/veteran-speaks-out-after-attack-by-federal-agents-in-portland-88031301795,veteran speaks out after attack by federal agents in portland 88031301795,"PROTEST,107;TAX_FNCACT_VETERAN,17;MILITARY,9;TAX_FNCACT_NAVY,9;TAX_FNCACT_VICTIM,180;TAX_FNCACT_AGENTS,78;TAX_FNCACT_FEDERAL_AGENTS,78;",,"Chris David,29",,"-17.0731707317073,0,17.0731707317073,17.0731707317073,7.31707317073171,0,34",,,,
2020-07-21 03:00:00,https://www.msnbc.com:443/the-reidout/watch/biden-says-four-black-women-are-on-his-vp-list-88032325600,biden says four black women are on his vp list 88032325600,"TAX_FNCACT_WOMEN,71;LEADER,21;LEADER,107;TAX_FNCACT_PRESIDENT,21;TAX_FNCACT_PRESIDENT,107;USPEC_POLITICS_GENERAL1,21;USPEC_POLITICS_GENERAL1,107;TAX_FNCACT_VICE_PRESIDENT,21;TAX_FNCACT_VICE_PRESIDENT,107;TAX_FNCACT_RUNNING_MATE,156;TAX_ETHNICITY_BLACK,65;",,"Joe Biden,31",,"10,10,0,10,17.5,0,36",,,,
2020-07-21 03:00:00,https://www.msnbc.com:443/all-in/watch/schumer-discusses-letter-dems-sent-to-fbi-over-foreign-interference-campaign-88033861664,schumer discusses letter dems sent to fbi over foreign interference campaign 88033861664,"TAX_FNCACT_DIRECTOR,143;GENERAL_GOVERNMENT,163;USPEC_POLITICS_GENERAL1,163;EPU_POLICY_CONGRESS,163;DEMOCRACY,89;UNGP_POLITICAL_FREEDOMS,89;",,,,"-2.7027027027027,0,2.7027027027027,2.7027027027027,18.9189189189189,2.7027027027027,31",,,,
2020-07-21 04:15:00,https://www.msnbc.com/the-reidout/watch/biden-says-trump-surrendered-waved-the-white-flag-in-his-handling-of-the-pandemic-88026693592,biden says trump surrendered waved the white flag in his handling of the pandemic 88026693592,"LEADER,33;LEADER,88;TAX_FNCACT_PRESIDENT,33;TAX_FNCACT_PRESIDENT,88;USPEC_POLITICS_GENERAL1,33;USPEC_POLITICS_GENERAL1,88;GENERAL_HEALTH,64;HEALTH_PANDEMIC,64;WB_635_PUBLIC_HEALTH,64;WB_2165_HEALTH_EMERGENCIES,64;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,64;WB_621_HEALTH_NUTRITION_AND_POPULATION,64;WB_2167_PANDEMICS,64;UNGP_HEALTHCARE,64;TAX_FNCACT_VICE_PRESIDENT,88;",,"Joe Biden,98",,"-2.56410256410256,2.56410256410256,5.12820512820513,7.69230769230769,17.9487179487179,2.56410256410256,32",,,,
2020-07-21 04:15:00,https://www.msnbc.com/all-in/watch/schumer-discusses-letter-dems-sent-to-fbi-over-foreign-interference-campaign-88033861664,schumer discusses letter dems sent to fbi over foreign interference campaign 88033861664,"TAX_FNCACT_DIRECTOR,143;GENERAL_GOVERNMENT,163;USPEC_POLITICS_GENERAL1,163;EPU_POLICY_CONGRESS,163;DEMOCRACY,89;UNGP_POLITICAL_FREEDOMS,89;",,,,"-2.7027027027027,0,2.7027027027027,2.7027027027027,18.9189189189189,2.7027027027027,31",,,,
2020-07-21 04:15:00,https://www.msnbc.com/all-in/watch/rep-maxine-waters-on-john-lewis-legacy-we-can-t-honor-him-enough-88032325998,rep maxine waters on john lewis legacy we can t honor him enough 88032325998,"WB_137_WATER,18;DEMOCRACY,94;UNGP_POLITICAL_FREEDOMS,94;",,"John Lewis,32",,"0,0,0,0,20.5882352941176,0,29",,,,
